Name,Stars,Review
Islam Mohammed,3,"Cold food Second time, not going to order from there anymore."
Naier Mohamed,5,💯
Islam Mohammed,4,2 sandwiches out of 4 were cold
Nada,1,الدجاج كانت كلها طعمها كانها بايته اسبوع وحتى كان فيه قطع سوده والعضم كله اسود والبطاطس كانت بااارده جدا مع اني فنفس شارعهم فهي مش حوار التوصيل هما مطلعنها بارده حتى اشيز صوص الي عليها مش سخن ومتكتل والكولسلو وجعلي بطني جدا بعد م كلته !!
Mira,1,Msh howa dh el quality eli mt3weda 3lha Chicken really bad Even the rizo
Marwan Habib,5,العيش ضعيف و خفيف مش ماسك نفسه و معجن و الفراخ مهرية و زفرة و الطماطم حامضة bread is weak and light its cut flaky chicken is maherya tomamto is hamda
Dr. Mohamed Mashaly,1,Will never deal with that restaurant again
Sara Esmail,1,الاكل جاي بارد وملهوش طعم واخر معاملة ان شاء الله 🙂
Mai ElSaghir,1,Coleslaw missing
Nehal Wagdy,1,the miss item hasn't arrived yet
Heba Mohamed,1,الفراخ مش مستويه والاكل طعمه وحش جدا !!!
Sandy Atef,1,missing/wrong order
Rawan,1,الطعم سيئ
Marwan Habib,1,الساندوتش كان سي جدا
Salma Ahmed,1,Bread was so bad
Noran Hussein,4,البطاطس سيئه
Noran Hussein,3,fries not fried enough
محمد حمد,3,Cold sandwiches
Salma Assem,4,No packaging 😠
Rawan Ashraf,2,الأوردر جيد إلي حد ما ولكن لم يكن هنالك تتبيلة في قطع الاستربس
مدى,5,الوجبه لذيذه، تنفيذ للملاحظات شكرا
salma ahmed,5,"the driver was so nice,the food was good i just have one comment about the fries it was a little bit dry so it was hard in chewing other than that the food was really yummy💗"
Abdullah Torky,1,order was late and the second sandwich wasnt even spicy like i requested
moustafa eslam,4,Cold food
Mona Talaat,4,order came spicy and i order original
Ola Khaled,2,The fries weren’t fried well The order came with only one packet of fries although it’s written that there is two
Aya Mahmoud,1,الاكل جي بارد
Alaa,5,تحفه بس الاكل بيوصل بارد
moustafa eslam,4,Not enough ranch and cold fries but the food was good
moustafa eslam,3,Food is fantastic no ranch sauce at all though
Hadeel Nageeb,1,الطلب اتاخر جدا اخد ساعه وحاجه وتاني حاجه انا طالبه كابل كومبو سوبرم الطلب جاني تويستر تجربه سيئه ومش حيتم التكرار
Goheir Gamil Ahmed,1,الطلب ناقص ال ساندوتش
maha mostafa,1,سئ وبارد جدا و الرز بايت ..
Alaa Mohamed,5,good
Basmala bisar,1,اسوأ حاجه كلتها فراخ مجلده و مش نضيفه بطلت اجيب تاني بجد
seif Islam hafez,5,the first driver i have seen in this app
Mirna MaGdii,5,تحفة♥️♥️
Sandy Atef,3,the food was very good but I wrote a request that wasn't fulfilled
Nourhan,5,I didn’t receive the drinks with the strips meals
Aly Alaa,2,هو الاكل حلو اه بس كان ساقع اوي لان التوصيل اتأخر جدًا ودي حاجة بتخلي التجربة مش الطف حاجة
EN AS,2,الاكل بارد
Muhammad Goda,2,الاكل جه بارد جدا واتأخر الاوردر كتير ، ع عكس م كنت متوقع الفراخ طلعت باردة والطعم اتأثر كتير
Kero Sadak,1,تعبت لمدة أسبوع اسهال وكنت همووت
Marwan Habib,2,sandwiches was not good the tomato's was rottens
Ahmed Elsawaf,4,الدليفري اتأخر جدا
Hadiir Amiin,2,الرز طعمه بايظ
yara,5,Driver was very helpful
Hm,1,طيار وقح
moustafa eslam,4,Not enough ranch and cold fries but the food was good
moustafa eslam,3,Food is fantastic no ranch sauce at all though
Hadeel Nageeb,1,الطلب اتاخر جدا اخد ساعه وحاجه وتاني حاجه انا طالبه كابل كومبو سوبرم الطلب جاني تويستر تجربه سيئه ومش حيتم التكرار
Goheir Gamil Ahmed,1,الطلب ناقص ال ساندوتش
maha mostafa,1,سئ وبارد جدا و الرز بايت ..
Alaa Mohamed,5,good
Basmala bisar,1,اسوأ حاجه كلتها فراخ مجلده و مش نضيفه بطلت اجيب تاني بجد
seif Islam hafez,5,the first driver i have seen in this app
Mirna MaGdii,5,تحفة♥️♥️
Sandy Atef,3,the food was very good but I wrote a request that wasn't fulfilled
Nourhan,5,I didn’t receive the drinks with the strips meals
Aly Alaa,2,هو الاكل حلو اه بس كان ساقع اوي لان التوصيل اتأخر جدًا ودي حاجة بتخلي التجربة مش الطف حاجة
EN AS,2,الاكل بارد
Muhammad Goda,2,الاكل جه بارد جدا واتأخر الاوردر كتير ، ع عكس م كنت متوقع الفراخ طلعت باردة والطعم اتأثر كتير
Kero Sadak,1,تعبت لمدة أسبوع اسهال وكنت همووت
Marwan Habib,2,sandwiches was not good the tomato's was rottens
Ahmed Elsawaf,4,الدليفري اتأخر جدا
Hadiir Amiin,2,الرز طعمه بايظ
yara,5,Driver was very helpful
Hm,1,طيار وقح
Mai ElSaghir,1,Coleslaw missing
Nehal Wagdy,1,the miss item hasn't arrived yet
Heba Mohamed,1,الفراخ مش مستويه والاكل طعمه وحش جدا !!!
Sandy Atef,1,missing/wrong order
Rawan,1,الطعم سيئ
Marwan Habib,1,الساندوتش كان سي جدا
Salma Ahmed,1,Bread was so bad
Noran Hussein,4,البطاطس سيئه
Noran Hussein,3,fries not fried enough
محمد حمد,3,Cold sandwiches
Salma Assem,4,No packaging 😠
Rawan Ashraf,2,الأوردر جيد إلي حد ما ولكن لم يكن هنالك تتبيلة في قطع الاستربس
مدى,5,الوجبه لذيذه، تنفيذ للملاحظات شكرا
salma ahmed,5,"the driver was so nice,the food was good i just have one comment about the fries it was a little bit dry so it was hard in chewing other than that the food was really yummy💗"
Abdullah Torky,1,order was late and the second sandwich wasnt even spicy like i requested
moustafa eslam,4,Cold food
Mona Talaat,4,order came spicy and i order original
Ola Khaled,2,The fries weren’t fried well The order came with only one packet of fries although it’s written that there is two
Aya Mahmoud,1,الاكل جي بارد
Alaa,5,تحفه بس الاكل بيوصل بارد
محمد,3,كمية الزيت في البطاطس كتيره جدا
Adam Elkady,1,الاكل كان زبالة بطني فشخاني منكوا لله حسبي الله و نعم الوكيل
Eman Saied,1,الاكل بارد جدا وطعمه مش حلو
arwa nabil,2,.
noor,1,Tastes horible
Malak,5,I’m
Soma Amr,1,بقالي كزا سنة بطلب اول مرة يجي الاورد بالسوء ده كله زيت وملوش طعم والاستربس بيشد كأنه كاوتش وبطاطس تعتبر نية ومزيتة مستواكم بيقل بجد لازم تعيدو النظر لأن الي هيشتري مرة بالمنظر ده مش هيكررها خصوصا أن الاكل مش رخيص
Nour Mahmoud,4,Everything was good except that the restaurant gave me the 2 sandwiches spicy although everything is perfect😍
مدى,4,الطلب تأخر طلبت جهينه بدل الكولا وجاء كولا
Reham Wageh Moustafa,3,C
Mando Hamdii Cinematography,1,الاكل وصل بارد وطعمه كان سيء
Tarek Zayan,4,My only problem was the temperature of the food. Except for that everything was perfect♥️
souhanda moussa,4,الاكل ساقع جدا جدا
basma samy,1,المطعم بيتجاهل التعديلات المطلوبة
menna,1,Horrible burnt chicken pieces. Not fresh and super oily
Ahmed Hassan Ezzat,5,Good
Orvalho owo,4,كان يفضل استبدال كاتشب هاينز بنوع ثاني لانه مقاطعة+ شكرا على قراءتكم الدائمة واهتمامكم بالملاحظات
Ahmad,2,One of the sandwiches came spicy with tomatoes
seif Islam hafez,5,very fast delivery
محمد علي,1,اوحش مطعم جربته حرفيا وبالذات عرض ٢ ريزو ٤ قطع فرايد كان وحش جدا
Amal,3,I got the snack box rather than the strips
Yehia ElSherif,5,عندكم مشكلة صغيرة عدم اضافة صوصات للساندوتشات الموجودة فى العروض معرفش ليه
Walid Omran,5,الاكل تحفة و سخن
Micheal,3,Last order was wrong
Ahmed,5,Good
Sara,5,التتبيله تحفه ياريت متغيروهاش
Nour Salah,1,Order is 2 hours late
seif Islam hafez,5,very fast and very good
Youssef Gamal,4,البطاطس كانت ساقعة لكن بقية الاكل كويس
Tarek Nabil Salem,1,الاكل بقي سيئ جدا جدااااا والفراخ اللي كنتوا بتعملوها احسن من كنتاكي بقت سيئة! والفراخ مش مقرمشة وحاجة فعلا في منتهي السوء! مفيش مطعم في اسكندرية بيحافظ علي جودته! ابدا!
Dina,3,Small portions and cold food
seif Islam hafez,5,"amazing, it was hot and delicious"
Islam Mohammed,3,"Cold food Second time, not going to order from there anymore."
Naier Mohamed,5,💯
Islam Mohammed,4,2 sandwiches out of 4 were cold
Nada,1,الدجاج كانت كلها طعمها كانها بايته اسبوع وحتى كان فيه قطع سوده والعضم كله اسود والبطاطس كانت بااارده جدا مع اني فنفس شارعهم فهي مش حوار التوصيل هما مطلعنها بارده حتى اشيز صوص الي عليها مش سخن ومتكتل والكولسلو وجعلي بطني جدا بعد م كلته !!
Mira,1,Msh howa dh el quality eli mt3weda 3lha Chicken really bad Even the rizo
Marwan Habib,5,العيش ضعيف و خفيف مش ماسك نفسه و معجن و الفراخ مهرية و زفرة و الطماطم حامضة bread is weak and light its cut flaky chicken is maherya tomamto is hamda
Dr. Mohamed Mashaly,1,Will never deal with that restaurant again
Sara Esmail,1,الاكل جاي بارد وملهوش طعم واخر معاملة ان شاء الله 🙂
Mai ElSaghir,1,Coleslaw missing
Nehal Wagdy,1,the miss item hasn't arrived yet
Heba Mohamed,1,الفراخ مش مستويه والاكل طعمه وحش جدا !!!
Sandy Atef,1,missing/wrong order
Rawan,1,الطعم سيئ
Marwan Habib,1,الساندوتش كان سي جدا
Salma Ahmed,1,Bread was so bad
Noran Hussein,4,البطاطس سيئه
Noran Hussein,3,fries not fried enough
محمد حمد,3,Cold sandwiches
Salma Assem,4,No packaging 😠
Rawan Ashraf,2,الأوردر جيد إلي حد ما ولكن لم يكن هنالك تتبيلة في قطع الاستربس
مدى,5,الوجبه لذيذه، تنفيذ للملاحظات شكرا
salma ahmed,5,"the driver was so nice,the food was good i just have one comment about the fries it was a little bit dry so it was hard in chewing other than that the food was really yummy💗"
Abdullah Torky,1,order was late and the second sandwich wasnt even spicy like i requested
moustafa eslam,4,Cold food
Mona Talaat,4,order came spicy and i order original
Ola Khaled,2,The fries weren’t fried well The order came with only one packet of fries although it’s written that there is two
Aya Mahmoud,1,الاكل جي بارد
Alaa,5,تحفه بس الاكل بيوصل بارد
Mohammad Abd Elkhalek,2,"Chicken wasn't fresh, and the rice was so salty with sauces on it"
Hadeer Youssef,1,Chicken wasn’t well seasoned
Sarah El Shoubashy,1,Taste horrible!
